City served / Location,ICAO,IATA,Airport name,Usage,Unused_1,Filler_2,Dummy_Col_3
Bordeaux / Yvrac,LFDY,,Bordeaux - Yvrac Aerodrome,Restricted,,zgnaLT,PQzss
La Réole / Floudès,LFDR,,La Réole - Floudès Airport,Public,,uahGj,urxgXy
Cazaux (La Teste-de-Buch),LFBC,,Cazaux Air Base (BA 120),Military,,zWqFQFdj,zFOIh
Lesparre / Saint-Laurent-Médoc,LFDU,,Lesparre - Saint-Laurent-de-Médoc Airport,Public,,PFHvEPth,PtYiKjb
Libourne / Les Artigues-de-Lussac,LFDI,XLR,Libourne - Artigues-de-Lussac Airport,Public,,ZDTeaEnq,DQCcIJi
Montendre / Marcillac,LFDC,,Montendre - Marcillac Airport,Public,,bbnuFWPe,iuyMNZ
Soulac-sur-Mer,LFDK,,Soulac-sur-Mer Airport,Public,,SMVQiEX,Smsprzq
Vendays-Montalivet,LFIV,,Vendays-Montalivet Aerodrome,Restricted,,LRkuL,jlgSn
34: Hérault,,,,,,AAOBk,vSKDirOp
Bédarieux / La Tour,LFNX,,Bédarieux - La Tour-sur-Orb Aerodrome,Restricted,,FfpGNCQM,hWNuFJ
Béziers / Vias,LFMU,BZR,Béziers Cap d'Agde Airport (Béziers-Vias Airport),Public,,FVHpFrmZ,wxpkLuRV
Montpellier / Candillargues,LFNG,,Montpellier - Candillargues Airport,Public,,ptTjDN,RNwgOwPx
Montpellier / Méditerranée,LFMT,MPL,Montpellier - Méditerranée Airport,Public,,jlkPeq,nxDdA
Pézenas / Nizas,LFNP,,Pézenas - Nizas Aerodrome,Restricted,,RCgJGbz,myhFH
Saint-Martin-de-Londres,LFNL,,Saint-Martin-de-Londres Aerodrome,Restricted,,MyHfno,vJMkW
35: Ille-et-Vilaine,,,,,,eVNcpi,javbHg
Dinard / Pleurtuit / Saint-Malo,LFRD,DNR,Dinard - Pleurtuit - Saint-Malo Airport,Public,,BpqJniBl,CDbohv
Redon / Bains-sur-Oust,LFER,XRN,Redon - Bains-sur-Oust Aerodrome (UAF),Public,,ZHtxTXJG,EMOsv
Rennes / Saint-Jacques,LFRN,RNS,Rennes - Saint-Jacques Airport,Public,,nNakWvs,tYJFY
Saint-Servan (Saint-Malo),LFEO,XSB,Saint-Servan Airport,,,BPyOTB,AhGFifk
36: Indre,,,,,,evHXRYHL,zXbrt
Argenton-sur-Creuse,LFEG,,Argenton-sur-Creuse Airport,Public,,GlvMsJ,VnuuqF
Châteauroux / Déols,LFLX,CHR,"Châteauroux-Centre \Marcel Dassault\"" Airport""",Public,,tJgFlfN,beJww
Châteauroux / Villers,LFEJ,,Châteauroux - Villers Airport,Public,,TmpWOtao,PJMIpYrq
