Artist,Song,Soundtrack,Episode(s),Notes,Irrelevant_1,Dummy_Col_2,Noise_Field_3
Guster,"\Keep it Together\""""",—,1.08,,oyjlN9,XmJpY,JncvL
Guster,\Mamacita," Donde Esta Santa Claus\""""",—,2.06,2mJaO,dqzzy,FiWqht
Guster,"\My Favourite Friend\""""",—,2.06,,VQt1ko,bgopU,zQVulW
Guster,"\Our House\""""",—,2.06,,OLfWZznD,GHVitP,OpQToB
Guster,"\Shuffle Your Feet\""""",—,2.06,,Aic72X,ntDNtJoB,UGstogWi
Gwen Stefani,"\Cool\""""",—,2.05,,qfs8ab,iDInw,hrMKvpQ
"Halloween, Alaska","\All the Arms Around You\""""",—,2.01,,JwuYB1zx,MgRdmm,HrjPfGY
"Halloween, Alaska","\Des Moines\""""",—,1.20,,NX9ZBVd,pVEnkNE,whGUn
Har Mar Superstar,"\As (Seasons)\""""",—,2.06,,a6rDO,zDdlB,XnmuXSu
Hard-Fi,"\Gotta Reason\""""",—,3.23,,gCSQnkC,lXCnIIh,HnykPME
Havergal,"\New Innocent Tyro Allegory\""""",—,2.17,,qnTMHL,nJvGfAr,tTkVj
Henry Mancini,"\Loose Caboose\""""",—,1.24,,5q1bEr,uTnen,hTROHg
Henry Mancini,"\Something for Cat\""""",—,4.08,,V5aYZs,CarSdzX,ylVYbt
Highwater Rising,"\Pillows and Records\""""",—,1.24,,8RRzgz,zrPiFjj,NnrMOku
Home Video,"\Superluminal\""""",—,2.20,,iNYVH,dKfChlrO,RyGIZ
Hot Chip,"\And I Was A Boy From School\""""",—,4.12,,RdJap,WtUxvd,QuGmvu
Hot Hot Heat,"\Christmas Day in the Sun\""""",—,3.10,,ZiEtmo,vUdLfM,QJiAqq
Howling Bells,"\Low Happening\""""",—,3.13,,JqPbcB,YXZtKNh,jkIxcRMm
DJ Harry,"\All My Life\""""",—,3.12,,JnC7a,fvnEFj,uyJcFIQa
Hyper,"\Antmusic\""""",—,2.23,,CG7dP7pY,YDKlsZ,hAOLGLs
I Am Jen,"\Broken in All the Right Places\""""",—,4.14,,C6PZXlE,pJnURLAI,lZyOUhr
I Am Kloot,"\3 Feet Tall\""""",—,1.18,,RsmXAZ,vTOMSDV,QKGqODp
Ian Broudie,"\Song for No One\""""",—,3.01,[citation needed],qkjptJB,JuyInfg,pbpGE
Imogen Heap,"\Goodnight & Go\""""",Mix 4,2.05,,zWKCK,IcwRmF,QIhZHP
